"RS","z"
0,93.4451219512195
0.17667,93.4451219512195
0.35333,93.4451219512195
0.53,93.4451219512195
0.81,94.4054859440501
1.09,95.3658499368807
1.57,93.3231725925353
2.05,93.3231725925353
2.38,94.0243883830745
2.59,94.0243883830745
2.92,97.0731688708794
3.47,97.9878030172209
3.825,98.5518292682927
4.18,99.1158555193645
4.67,99.1158555193645
5,99.1158555193645
5.305,98.9451245563786
5.61,98.7713418355802
5.83,98.7713418355802
6.05,98.7713418355802
6.27,98.7713418355802
6.5133,98.7713418355802
6.7567,98.7713418355802
7,98.7713418355802
7.68,98.7713418355802
8.32,98.7713418355802
8.84,98.4756097560976
9.7,98.4756097560976
11.74,97.8079260849371
12.86,97.8079260849371
13.6,97.8079260849371
14.48,98.5975591147818
15.79,98.5975591147818
16.14,99.4817035954173
16.75,99.4817035954173
17.39,99.4817035954173
17.9,99.4817035954173
18.82,99.4817035954173
19.38,100.518296404583
19.94,101.554879909608
20.24,100.213418355802
20.29,101.280491526534
20.38,100.518296404583
20.45,100.060979331412
20.87,101.890247624095
21.5,100.213418355802
22.06,99.969510334294
22.58,100.335367714486
23.1,100.945123812047
23.61,101.009145597132
24.11,102.62195308034
24.62,102.042686648485
25.12,102.347564697266
25.62,100.914634146341
26.16,102.439024390244
26.67,103.445118229564
26.78,103.048780487805
26.88,101.554879909608
26.95,102.560973748928
27.04,102.560973748928
27.47,101.402440885218
28.02,101.402440885218
28.29,101.402440885218
29.8,101.189022529416
30.41,101.189022529416
30.91,103.634150435285
31.3,103.634150435285
31.83,103.634150435285
32.49,104.085363992831
32.99,104.600608639601
33.5,103.506097560976
34,104.451221373023
34.51,104.146343324243
35.01,104.146343324243
35.51,103.749996278344
36.02,105.24390616068
36.54,103.749996278344
37.05,103.749996278344
37.53,101.859757958389
38.06,103.567076892388
38.58,100.884144480635
39.1,105.914632285514
39.62,104.634150063119
40.13,103.871954941168
40.64,103.048780487805
40.69,101.280491526534
40.77,100.030489665706
40.82,97.7743939655583
41.19,99.3292645710271
41.69,98.5670694490758
42.25,104.878048780488
42.75,101.280491526534
43.25,104.451221373023
43.73,103.841465275462
44.26,104.390242041611
44.77,106.280489665706
45.26,106.524388383075
45.77,106.676827407465
46.27,106.432928690096
46.77,106.432928690096
47.26,105.304876187953
47.76,106.189020668588
48.28,106.189020668588
48.78,106.25
49.04,105.548784209461
49.26,104.542681066001
49.31,103.841465275462
49.34,101.067073170732
49.35,101.067073170732
49.41,98.5365890875095
49.49,98.5365890875095
49.81,98.84146713629
50.37,104.420731707317
51.02,101.432930550924
51.67,104.237803017221
52.1,105.030487804878
52.46,103.445118229564
53.29,103.78048594405
54.39,104.634150063119
54.82,104.634150063119
55.54,106.189020668588
56.2,106.189020668588
56.96,106.189020668588
58.03,104.847559114782
58.7,107.25609383932
60.1,107.25609383932
61.44,106.920735428973
61.89,105.609754236733
62.31,105.609754236733
62.72,105.609754236733
63.32,105.609754236733
64.28,108.902442746046
65.14,109.420729846489
65.66,109.420729846489
66.25,109.420729846489
67.13,106.219510334294
68.18,106.219510334294
69.02,106.219510334294
69.88,107.987808599705
70.43,107.987808599705
70.95,107.987808599705
71.46,107.987808599705
71.788,107.987808599705
71.94,107.987808599705
72.49,109.298780487805
72.93,109.756097560976
73.4,110.335363992831
73.9,110.853660397413
74.28,110.213414634146
74.4,110.213414634146
74.9,111.219508473466
75.41,111.219508473466
75.92,111.49390616068
76.42,108.810973748928
76.92,111.1890281119
77.45,107.987808599705
77.53,107.896339602587
77.63,107.835369575314
77.73,109.451219512195
77.92,109.298780487805
78.17,109.939026251072
78.42,110.579272014339
78.675,110.457313351515
78.93,110.335363992831
79.175,109.740857380192
79.42,109.146341463415
79.63,109.435979331412
79.84,109.72560789527
80.07,109.786587226682
80.3,109.847557253954
80.39,110.435978959246
80.43,109.5975643251
80.52,109.5975643251
80.59,109.5975643251
80.64,110.26524799626
80.65,110.26524799626
80.83,110.795732823814
80.94,110.810973004597
81.05,110.82622248952
81.185,110.859754608899
81.32,110.89633848609
81.47,110.932922363281
81.62,110.972557998285
82.37,112.649387266578
82.64,112.649387266578
82.91,112.649387266578
83.48,113.268289333437
84,113.268289333437
84.51,113.268289333437
85.1,114.673781976467
86.46,115.256100166135
87,115.256100166135
87.71,115.48475870272
88.53,115.76524129728
89.09,115.9054918987
89.7,115.838418355802
90.39,115.838418355802
90.9,116.237807855373
91.29,115.935972260266
91.76,116.067076892388
92.22,116.067076892388
93.47,115.911586110185
93.99,115.920732079483
94.67,115.981711410895
95.5,116.103660769579
96.04,116.103660769579
96.56,116.423778999143
97.01,116.384143364139
97.52,116.384143364139
98.03,116.667687020651
98.54,116.682927201434
98.84,116.682927201434
99.36,116.682927201434
99.62,117.091462670303
99.92,117.091462670303
100.38,117.091462670303
100.7,117.091462670303
101.28,117.335361387671
101.69,117.335361387671
103.35,117.582321166992
104.31,117.634145224967
104.76,117.667686648485
105.07,117.530487804878
105.17,117.530487804878
105.61,117.530487804878
106.04,117.530487804878
106.53,117.530487804878
107.02,117.530487804878
107.55,118.256099049638
108.06,118.256099049638
108.84,119.201222861685
109.36,119.320120462557
109.95,119.384142247642
110.35,119.40548594405
110.92,119.149389499571
111.72,118.978658536585
112.45,119.490851425543
113.17,119.765239808618
113.41,119.814021412919
113.65,119.865854775033
113.8,119.865854775033
113.87,119.865854775033
114.01,119.798781232136
114.14,119.731707689239
114.31,119.731707689239
114.33,119.731707689239
114.37,119.731707689239
114.42,119.731707689239
114.53,119.701218023533
114.63,119.673780115639
114.74,119.643290449933
114.9,119.533538818359
115.05,119.423777882646
115.25,119.429881398271
115.44,119.432923851944
115.64,119.439027367569
115.76,119.64024799626
115.87,119.841459320813
115.93,119.841459320813
115.94,119.841459320813
115.99,119.841459320813
116.23,119.765239808618
116.46,119.692072054235
117.06,120.307922363281
117.54,119.131097560976
118.07,119.283536585366
118.56,117.527436047066
119.09,117.868897973037
119.59,117.868897973037
120.01,120.948168126548
120.28,120.948168126548
120.53,120.948168126548
120.9,119.850605290111
121.85,120.673779743474
122.33,119.878052502144
123.08,118.923782720798
123.61,120.42377751048
124.13,119.018294171589
124.7,119.091461925972
125.23,120.439026995403
125.67,120.439026995403
126.14,119.935980075743
126.51,119.55792496844
126.84,119.530487060547
127.17,120.310974121094
127.59,121.942073542897
128.08,120.3414637868
128.54,121.222556509623
129.06,121.222556509623
129.44,120.756093467154
129.89,121.713415006312
130.35,121.682925340606
130.67,120.036585738019
131.03,120.036585738019
131.71,121.103658908751
131.95,122.060971143769
132.38,121.393296776748
132.72,122.006095327982
133.34,122.22560789527
133.77,120.618903927687
134.08,123.414630424686
134.59,123.027438652225
134.95,121.076221000857
135.28,122.429880281774
136.1,122.878051385647
136.37,122.856707689239
137.2,122.195118229564
137.39,123.097563952934
137.7,123.097563952934
137.96,123.652434930569
138.53,123.015240925114
138.77,121.670727613496
139.11,121.670727613496
139.38,121.670727613496
139.61,124.795727613496
139.85,124.795727613496
140.29,124.795727613496
140.55,124.795727613496
140.8,124.594516288943
140.95,124.594516288943
141.14,124.594516288943
141.43,124.335368086652
141.84,123.786582016363
142.36,123.786582016363
142.86,123.786582016363
143.22,123.786582016363
143.84,124.454265687524
144.21,124.454265687524
144.79,124.454265687524
145.58,123.189023645913
146.87,124.783539190525
147.82,125.810976726253
148.38,125.749997394841
148.9,125.954269781345
149.51,125.954269781345
149.89,123.47866151391
149.94,123.47866151391
150.09,123.47866151391
150.24,123.47866151391
150.5,123.47866151391
151,126.676829268293
151.49,126.676829268293
151.92,126.231709922232
152.45,126.231709922232
152.77,125.204272386504
153.31,125.204272386504
153.84,125.250002232994
154.47,125.250002232994
154.99,126.567077636719
155.58,127.222563580769
156.05,125.521338858256
156.49,125.521338858256
157.16,120.503048780488
157.53,124.435973748928
158.03,124.435973748928
158.43,125.521338858256
158.85,125.536588343178
159.38,125.521338858256
159.68,123.368900578196
160,120.503048780488
160.11,122.722560603444
160.19,122.722560603444
160.36,124.435973748928
160.54,124.060979703578
160.92,124.435973748928
161.19,127.088416494974
161.41,127.039634890673
161.88,127.012196982779
162.6,123.146345557236
162.97,127.24694973085
163.25,127.24694973085
163.47,124.631100166135
163.85,124.631100166135
164.33,127.134146341463
164.57,127.134146341463
164.92,127.134146341463
165.33,126.820122323385
165.61,126.820122323385
166,127.588411656822
166.3,127.588411656822
166.69,127.987801156393
167.01,127.987801156393
167.61,127.987801156393
168.56,128.402440140887
168.94,129.417679949505
169.51,129.417679949505
169.94,127.993904672018
170.6,128.618900950362
171.04,128.618900950362
171.51,127.97256097561
171.94,127.97256097561
172.35,127.97256097561
172.93,127.97256097561
173.32,128.64024464677
173.49,128.64024464677
174.17,128.64024464677
174.46,128.64024464677
174.72,127.46951405595
176.49,128.176833362114
176.78,129.756099421804
177.12,129.756099421804
177.84,130.893288589105
178.1,130.893288589105
178.35,130.893288589105
179.05,131.198166637886
179.44,131.198166637886
180.07,131.576221745189
180.53,131.576221745189
180.79,131.54268032167
181.52,131.54268032167
181.79,129.198167382217
182.11,129.198167382217
182.53,129.198167382217
183.1,130.978654070598
183.42,128.948174453363
183.83,128.948174453363
184.37,128.948174453363
184.87,132.14024799626
185.5,132.14024799626
185.74,131.97561124476
186.18,131.97561124476
186.56,130.487804878049
187.03,130.487804878049
187.34,131.082320794827
187.88,131.777442373881
188.46,132.42073059082
188.74,132.42073059082
189.11,132.073174453363
189.72,127.768288589105
190.13,127.768288589105
190.54,130.094509589963
191.08,129.740849936881
191.58,130.310979703578
192.1,132.012195121951
192.46,132.012195121951
192.74,131.774390616068
193.23,131.774390616068
193.47,131.774390616068
193.87,132.954267176186
194.61,132.850609756098
195.03,132.850609756098
195.43,130.292678460842
195.77,131.774390616068
196.04,130.292678460842
196.59,130.292678460842
196.99,130.292678460842
197.6,134.262196610614
198.06,134.551825174471
199.96,133.951215046208
200.71,124.64939210473
200.79,124.64939210473
200.8,124.64939210473
200.83,124.64939210473
201.06,134.216466764124
201.6,134.216466764124
201.85,134.307926457103
202.09,134.399386150081
202.28,134.45731372368
202.47,134.512198843607
202.68,134.512198843607
202.8,134.512198843607
202.84,134.512198843607
202.86,134.512198843607
202.88,134.512198843607
202.94,134.512198843607
203.08,134.524387266578
203.26,134.545730962986
203.33,134.609752748071
203.37,134.609752748071
203.41,134.609752748071
203.47,134.609752748071
203.69,134.609752748071
204.08,134.786587226682
204.84,134.887192888958
205.1,134.887192888958
205.73,135.015245763267
206.36,135.097559486947
207.14,135.292685904154
207.92,135.347561719941
208.39,135.628044314501
208.66,135.628044314501
209.13,135.628044314501
209.48,135.661585738019
210.3,135.810973004597
210.57,135.923776393983
210.86,135.923776393983
211.88,136.082318933999
212.28,136.167684415492
212.8,136.262195866282
213.14,136.262195866282
213.86,136.359759074886
214.25,136.457312979349
214.62,136.567073915063
214.71,136.567073915063
215.3,136.667679577339
215.79,136.756096816644
216.27,136.850608267435
216.69,136.929879537443
216.92,136.929879537443
217.53,137.05488065394
218.12,137.161589831841
218.61,137.295727613496
219.28,137.295727613496
220.02,137.445124184213
220.57,137.567073542897
220.98,137.667679205173
221.35,137.667679205173
221.63,137.667679205173
221.72,137.667679205173
222.06,137.996952708175
222.5,137.996952708175
222.58,137.996952708175
223.21,137.996952708175
223.86,138.222559486947
224.43,138.222559486947
225.05,138.374998511338
225.63,138.469509962128
226.2,138.615854775033
226.95,138.695126045041
227.33,138.695126045041
227.8,138.853659280917
228.06,138.917681066001
228.32,138.984754608899
228.53,138.984754608899
228.73,138.984754608899
228.98,139.039630424686
229.22,139.094515544612
